"日本標準商品分類(平成2年[1990年]6月改定)"
"分類コード","項目名","本籍"
"033132","バロータ球根",""
"033133","ヒメノカリス球根",""
"033134","ヒヤシンス球根",""
"033135","フリージア球根",""
"033136","フリチラリア球根",""
"033137","ブローディア球根",""
"033138","ベゴニア球根",""
"033141","ムスカリ球根",""
"033142","ゆり球根",""
"033143","ラナンキュラス球根",""
"033144","リアトリス球根",""
"033145","リコリス球根",""
"033199","その他の球根",""
"0332","野菜苗及び植付用球根・根",""
"03321","野菜の苗（かんしょ苗を含む。）",""
"0332101","アスパラガス苗",""
"0332102","かぼちゃ苗",""
"0332103","キャベツ苗",""
"0332104","きゅうり苗",""
"0332105","すいか苗",""
"0332106","たまねぎ苗",""
"0332107","とうがらし苗（ピーマン苗を含む。）",""
"0332108","トマト苗",""
"0332111","なす苗",""
"0332112","ねぎ苗",""
"0332113","はくさい苗",""
"0332114","メロン苗",""
"0332115","レタス苗",""
"0332116","いちご苗",""
"0332117","かんしょ苗",""
"0332199","その他の野菜の苗",""
"03322","野菜の植付用球根・根",""
"0332201","うど根",""
"0332202","さといも根",""
"0332203","しょうが根",""
"0332204","食用ゆり球根",""
"0332205","にんにく球根",""
"0332206","はす根",""
"0332207","ふき根",""
"0332208","みょうが根",""
"0332211","やまといも根",""
"0332212","らっきょう球根",""
"0332299","その他の野菜の植付用球根・根",""
"0333","果樹苗木",""
"03331","常緑果樹の苗木",""
"033311","かんきつ類苗木",""
"0333111","みかん類苗木",""
"03331111","うんしゅうみかん類苗木",""
"03331119","その他のみかん類苗木",""
"0333112","ゆず類苗木",""
"0333113","オレンジ類苗木",""
"0333114","雑かん類苗木",""
"03331141","はっさく苗木",""
"03331142","いよかん苗木",""
"03331143","なつみかん苗木",""
"03331149","その他の雑かん類苗木",""
"0333115","グレープフルーツ苗木",""
"0333116","ぶんたん類苗木",""
"0333117","レモン類苗木",""
"0333118","きんかん苗木",""
"0333119","その他のかんきつ類苗木",""
"033312","びわ苗木",""
"033313","オリーブ苗木",""
"033319","その他の常緑果樹の苗木",""
"03332","落葉果樹の苗木",""
"0333201","りんご苗木",""
"0333202","かき苗木",""
"0333203","くり苗木",""
"0333204","うめ苗木",""
"0333205","もも苗木",""
"0333206","ネクタリン苗木",""
"0333207","日本なし苗木",""
"0333208","西洋なし苗木",""
"0333211","中国なし苗木",""
"0333212","ぶどう苗木",""
"0333213","すもも苗木",""
"0333214","プルーン苗木",""
"0333215","おうとう苗木",""
"0333216","いちじく苗木",""
"0333217","あんず苗木",""
"0333218","ざくろ苗木",""
"0333221","くるみ苗木",""
"0333222","マルメロ苗木",""
"0333223","やまもも苗木",""
"0333224","キウイフルーツ苗木",""
"0333225","フェイジョア苗木",""
"0333299","その他の落葉果樹の苗木",""
"03333","熱帯性及び亜熱帯性果樹の苗木",""
"033331","バナナ苗木",""
"033332","パインアップル苗木",""
"033333","アボカド苗木",""
"033339","その他の熱帯性及び亜熱帯性果樹の苗木",""
"0334","果樹のだい木",""
"033401","かんきつ類のだい木",""
"0334011","ゆずだい木",""
"0334012","からたちだい木",""
"0334019","その他のかんきつ類のだい木",""
"033402","びわのだい木",""
"033403","オリーブのだい木",""
"033404","りんごのだい木",""
"0334041","丸葉かいどうだい木",""
"0334042","三葉かいどうだい木",""
"0334043","りんごの共だい",""
"0334044","わい性だい木",""
"033405","なしのだい木",""
